Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Survived
2,female,17-32,0,1,2,M,Other,S,Yes
2,male,33-48,0,1,2,M,Other,S,No
3,male,17-32,0,0,2,L,Other,S,Yes
3,male,33-48,0,0,2,L,Other,S,No
3,male,33-48,0,0,2,L,Other,S,No
3,male,17-32,1,0,2,L,Other,S,Yes
3,male,49-64,0,0,2,L,Other,S,No
3,male,0-16,0,0,2,L,Other,S,No
3,male,17-32,0,0,2,L,Other,S,Yes
3,male,0-16,0,0,2,L,Other,S,No
3,male,0-16,0,0,2,L,Other,S,No
3,male,49-64,0,0,2,L,Other,S,No
3,male,17-32,0,0,2,L,Other,S,No
3,male,33-48,0,0,2,L,Other,S,Yes
3,male,0-16,0,0,2,L,Other,S,Yes
3,male,49-64,0,0,2,L,Other,S,No
2,female,0-16,0,0,3,L,E,S,No
2,male,17-32,0,0,3,L,Other,S,No
1,male,17-32,0,0,680,H,C,S,No
1,male,17-32,0,0,693,M,Other,S,No
1,male,33-48,0,0,694,M,Other,S,No
1,male,33-48,0,0,695,L,B,S,No
2,male,0-16,0,0,751,L,Other,S,Yes
2,male,17-32,0,0,752,L,Other,S,Yes
3,male,0-16,0,0,752,L,Other,S,Yes
3,male,33-48,1,1,851,M,Other,S,No
3,male,17-32,0,2,851,M,Other,S,No
2,male,17-32,0,0,1166,M,Other,S,No
2,male,17-32,0,0,1585,M,Other,S,No
3,male,17-32,0,0,1601,H,Other,S,Yes
3,male,33-48,0,0,1601,H,Other,S,Yes
3,male,17-32,0,0,1601,H,Other,S,Yes
3,male,17-32,0,0,1601,H,Other,S,No
2,female,64-80,0,0,1748,M,Other,C,Yes
2,male,17-32,1,0,2003,M,Other,S,No
2,female,33-48,1,0,2003,M,Other,S,Yes
2,male,17-32,0,2,2079,H,Other,C,Yes
2,male,17-32,1,1,2079,H,Other,C,No
2,female,17-32,1,1,2079,H,Other,C,Yes
2,female,0-16,1,2,2123,H,Other,C,Yes
2,female,33-48,1,2,2123,H,Other,C,Yes
2,male,17-32,1,2,2123,H,Other,C,No
2,female,17-32,1,2,2123,H,Other,C,Yes
2,male,0-16,0,0,2133,M,Other,C,No
3,male,17-32,5,2,2144,H,Other,S,No
3,male,17-32,5,2,2144,H,Other,S,No
3,male,17-32,5,2,2144,H,Other,S,No
3,female,17-32,5,2,2144,H,Other,S,No
3,female,17-32,5,2,2144,H,Other,S,No
3,male,17-32,5,2,2144,H,Other,S,No
3,male,0-16,1,6,2144,H,Other,S,No
3,female,17-32,1,6,2144,H,Other,S,No
2,male,49-64,0,0,2147,M,Other,C,Yes
2,female,17-32,1,0,2148,M,Other,C,Yes
2,female,64-80,1,0,2149,M,Other,C,Yes
3,male,17-32,0,0,2151,L,Other,S,No
3,male,17-32,0,0,2152,L,Other,S,No
2,male,17-32,0,0,2163,M,D,C,No
2,male,0-16,0,0,2166,M,D,C,Yes
2,male,0-16,1,0,2167,H,Other,C,No
2,female,17-32,1,0,2167,H,Other,C,Yes
2,male,33-48,0,0,2168,M,Other,C,No
3,male,33-48,0,0,2223,L,Other,S,No
3,female,0-16,0,0,2314,L,Other,S,Yes
3,male,17-32,1,2,2315,M,Other,S,Yes
3,female,17-32,1,2,2315,M,Other,S,Yes
3,male,17-32,1,2,2315,M,Other,S,No
3,female,17-32,1,2,2315,M,Other,S,Yes
3,male,17-32,8,2,2343,H,Other,S,No
1,male,17-32,0,0,2543,H,C,C,Yes
3,male,17-32,0,0,2620,L,Other,C,Yes
3,male,0-16,0,0,2623,L,Other,C,No
3,male,17-32,0,1,2625,L,Other,C,Yes
3,female,17-32,1,1,2625,L,Other,C,Yes
3,female,17-32,0,0,2627,M,Other,C,No
3,male,17-32,0,0,2628,L,Other,C,No
3,male,17-32,0,0,2648,L,Other,C,No
3,male,17-32,1,1,2650,M,Other,C,Yes
3,female,0-16,1,1,2650,M,Other,C,Yes
3,female,17-32,0,2,2650,M,Other,C,Yes
3,male,17-32,1,0,2651,M,Other,C,Yes
3,female,17-32,1,0,2651,M,Other,C,Yes
3,female,17-32,0,2,2653,M,Other,C,Yes
3,male,17-32,1,1,2653,M,Other,C,Yes
3,female,17-32,1,1,2653,M,Other,C,Yes
3,male,33-48,0,0,2654,L,F,C,Yes
3,male,0-16,0,0,2656,L,Other,C,No
3,female,17-32,0,0,2657,L,Other,C,Yes
3,male,17-32,0,0,2658,L,Other,C,Yes
3,male,17-32,1,0,2659,M,Other,C,No
3,female,17-32,1,0,2659,M,Other,C,Yes
3,male,17-32,0,0,2663,L,Other,C,Yes
3,female,33-48,1,0,2665,M,Other,C,No
3,female,17-32,2,1,2666,M,Other,C,Yes
3,female,49-64,2,1,2666,M,Other,C,Yes
3,female,17-32,2,1,2666,M,Other,C,Yes
3,female,64-80,0,3,2666,M,Other,C,Yes
3,female,17-32,0,0,2667,L,Other,C,Yes
3,male,33-48,0,0,2669,L,Other,C,No
3,male,33-48,0,0,2670,L,Other,C,No
3,male,17-32,0,0,2672,L,Other,C,No
3,male,17-32,0,2,2673,M,Other,S,No
3,male,17-32,1,1,2673,M,Other,S,No
3,female,33-48,1,1,2673,M,Other,S,Yes
3,male,33-48,0,2,2675,L,Other,C,No
3,male,17-32,1,1,2678,M,Other,C,No
3,female,17-32,1,1,2678,M,Other,C,No
3,male,17-32,0,0,2679,L,Other,C,No
3,male,33-48,1,0,2680,M,Other,C,No
3,male,17-32,1,0,2680,M,Other,C,No
3,male,33-48,0,0,2682,L,Other,C,No
3,male,0-16,0,0,2683,L,Other,C,No
3,male,17-32,0,0,2685,L,Other,C,No
3,female,17-32,0,0,2687,L,Other,C,Yes
3,female,17-32,0,0,2688,L,Other,C,Yes
3,male,17-32,1,1,2690,L,Other,C,No
3,female,64-80,0,1,2691,M,Other,C,No
3,female,17-32,0,1,2691,M,Other,C,No
3,male,17-32,0,0,2692,L,Other,C,No
3,male,0-16,0,0,2693,L,Other,C,No
3,male,17-32,0,0,2694,L,Other,C,No
3,male,17-32,1,1,2695,L,Other,C,No
3,female,33-48,0,0,2696,L,Other,C,Yes
3,male,33-48,0,0,2697,L,Other,C,No
3,male,49-64,0,0,2698,L,Other,C,No
3,male,0-16,0,0,2699,M,Other,C,Yes
3,male,17-32,0,0,2699,M,Other,C,No
2,male,17-32,1,0,2908,M,Other,S,Yes
2,female,17-32,1,0,2908,M,Other,S,Yes
2,male,33-48,1,0,2926,M,Other,S,No
2,female,33-48,1,0,2926,M,Other,S,Yes
2,male,17-32,1,0,3085,M,Other,S,No
2,female,33-48,1,0,3085,M,Other,S,Yes
3,male,17-32,1,0,3336,M,Other,S,No
3,female,17-32,1,0,3336,M,Other,S,No
3,male,17-32,1,0,3337,M,Other,S,No
3,female,17-32,1,0,3337,M,Other,S,No
3,male,33-48,0,0,3338,L,Other,S,No
2,male,0-16,1,0,3381,M,Other,C,No
2,female,17-32,1,0,3381,M,Other,C,Yes
3,male,17-32,1,0,3460,L,Other,S,No
3,male,17-32,0,0,3464,L,Other,S,No
3,male,17-32,0,0,3474,L,Other,S,No
3,male,17-32,0,0,3536,L,Other,S,No
3,male,17-32,0,0,3540,L,Other,S,Yes
3,male,17-32,0,0,3594,L,Other,S,No
3,male,17-32,0,0,3701,L,Other,S,No
3,male,0-16,0,0,3902,L,Other,S,No
3,male,33-48,0,0,4001,M,Other,S,No
3,male,33-48,0,0,4001,M,Other,S,No
3,male,49-64,0,0,4001,M,Other,S,No
3,female,17-32,0,0,4134,L,Other,S,Yes
3,female,49-64,0,0,4135,L,Other,S,No
3,female,33-48,1,0,4136,L,Other,S,No
3,female,17-32,1,0,4137,L,Other,S,No
3,female,49-64,0,0,4138,L,Other,S,Yes
3,male,0-16,0,0,4348,L,Other,S,No
3,male,17-32,0,1,4579,L,Other,S,No
3,male,17-32,0,0,5547,L,Other,S,No
1,male,17-32,0,0,5727,M,E,S,No
1,male,33-48,1,0,5734,H,E,S,No
1,female,33-48,1,0,5734,H,E,S,Yes
1,male,17-32,1,1,5735,H,B,S,No
1,female,17-32,0,2,5735,H,B,S,Yes
3,male,0-16,0,0,6212,M,Other,S,No
3,male,0-16,0,0,6563,L,Other,S,No
3,female,17-32,2,2,6608,H,Other,S,No
3,female,33-48,2,2,6608,H,Other,S,No
3,male,17-32,2,2,6608,H,Other,S,No
3,male,17-32,1,3,6608,H,Other,S,No
3,female,49-64,1,3,6608,H,Other,S,No
3,male,0-16,0,0,7075,L,Other,S,No
3,male,0-16,0,0,7076,L,Other,S,No
3,female,17-32,0,0,7077,L,Other,S,Yes
3,male,49-64,0,0,7266,L,Other,S,No
3,male,17-32,0,0,7267,L,Other,S,No
3,male,17-32,0,0,7534,L,Other,S,No
3,male,49-64,0,0,7534,L,Other,S,No
3,male,17-32,0,0,7538,L,Other,S,Yes
3,male,33-48,0,0,7540,L,Other,S,No
3,male,17-32,0,0,7545,L,Other,S,No
3,female,17-32,1,0,7546,L,Other,S,No
3,female,0-16,0,0,7548,L,Other,S,Yes
3,female,0-16,0,0,7552,M,Other,S,No
3,female,0-16,0,0,7553,L,Other,S,No
3,male,17-32,0,0,7598,L,Other,S,Yes
3,male,17-32,0,0,8471,L,Other,S,No
3,male,33-48,0,0,8475,L,Other,S,No
3,female,33-48,0,0,9232,L,Other,Q,No
3,female,33-48,1,1,9549,M,G,S,Yes
3,female,17-32,0,2,9549,M,G,S,Yes
3,female,17-32,1,1,9549,M,G,S,Yes
3,male,17-32,0,0,10482,L,Other,S,Yes
3,male,0-16,0,0,11206,L,Other,S,No
2,male,33-48,1,0,11668,M,Other,S,No
2,female,49-64,1,0,11668,M,Other,S,No
1,male,17-32,1,1,11751,H,D,S,Yes
1,female,33-48,1,1,11751,H,D,S,Yes
1,female,17-32,0,2,11752,M,D,S,Yes
1,male,17-32,1,0,11753,H,D,S,Yes
1,female,17-32,1,0,11753,H,D,S,Yes
1,female,17-32,1,0,11755,H,A,C,Yes
1,male,33-48,1,0,11765,H,E,C,Yes
1,female,33-48,1,0,11765,H,E,C,Yes
1,female,17-32,0,1,11767,H,C,C,Yes
1,female,0-16,0,0,11767,H,C,C,Yes
1,female,17-32,0,1,11767,H,C,C,Yes
1,female,17-32,2,0,11769,H,C,S,Yes
1,female,0-16,2,0,11769,H,C,S,Yes
1,female,33-48,2,0,11770,M,C,S,Yes
1,male,17-32,0,0,11771,H,B,C,No
1,male,33-48,1,0,11778,H,C,C,Yes
1,female,17-32,1,0,11778,H,C,C,Yes
1,female,17-32,0,0,11813,H,D,C,Yes
1,female,17-32,0,0,11813,H,D,C,Yes
1,male,17-32,1,0,11967,H,B,C,Yes
1,female,17-32,1,0,11967,H,B,C,Yes
2,male,33-48,0,0,12233,M,Other,S,No
1,male,17-32,1,1,12749,H,B,S,No
1,female,17-32,1,1,12749,H,B,S,Yes
1,male,0-16,0,0,12749,H,B,S,No
1,female,17-32,0,0,12749,H,B,S,Yes
1,male,49-64,1,0,12750,H,B,S,No
1,female,17-32,1,2,12750,H,B,S,Yes
3,male,33-48,0,0,13032,L,Other,Q,No
1,male,17-32,0,0,13049,H,A,C,No
1,male,17-32,0,0,13050,H,C,C,No
1,male,17-32,0,0,13050,H,C,C,No
1,male,17-32,0,0,13213,H,A,C,Yes
1,male,17-32,0,0,13214,H,B,C,Yes
1,male,33-48,1,0,13236,H,C,C,Yes
1,female,17-32,1,0,13236,H,C,C,Yes
1,female,49-64,1,0,13502,H,D,S,Yes
1,female,0-16,1,0,13502,H,D,S,Yes
1,female,17-32,0,0,13502,H,D,S,Yes
1,male,17-32,1,0,13507,H,E,S,No
1,female,33-48,1,0,13507,H,E,S,Yes
1,male,0-16,1,0,13508,H,C,C,No
1,female,17-32,1,0,13508,H,C,C,Yes
1,male,33-48,0,0,13509,M,E,S,No
2,female,17-32,0,0,13528,M,Other,S,Yes
2,female,17-32,0,0,13528,M,Other,S,Yes
2,female,17-32,0,2,13529,M,Other,S,Yes
2,male,17-32,1,1,13529,M,Other,S,No
2,female,17-32,1,1,13529,M,Other,S,Yes
2,female,33-48,0,0,13531,L,Other,S,Yes
2,female,17-32,0,0,13534,M,Other,S,No
2,male,17-32,0,0,13540,L,Other,S,No
1,male,33-48,1,1,13567,H,B,C,Yes
1,female,49-64,1,1,13567,H,B,C,Yes
1,female,17-32,0,2,13568,H,B,C,Yes
1,male,17-32,1,0,13695,H,C,S,No
1,female,49-64,1,0,13695,H,C,S,Yes
1,male,17-32,0,0,13905,M,Other,C,No
2,male,33-48,0,0,14208,L,Other,S,No
2,female,17-32,0,0,14258,L,Other,S,Yes
2,male,17-32,0,0,14260,L,Other,S,Yes
2,male,17-32,0,0,14263,L,Other,S,No
2,female,33-48,0,0,14266,L,F,S,Yes
2,male,49-64,0,0,14879,H,Other,S,No
2,male,17-32,0,0,14879,H,Other,S,No
2,male,0-16,0,0,14879,H,Other,S,No
2,male,49-64,2,0,14879,H,Other,S,No
2,male,33-48,2,0,14879,H,Other,S,No
2,male,17-32,2,0,14879,H,Other,S,No
2,male,33-48,0,0,14879,H,Other,S,No
2,female,0-16,0,0,14885,L,Other,S,Yes
2,male,17-32,0,0,14888,L,Other,S,No
3,male,49-64,0,0,14973,L,Other,S,No
2,male,33-48,0,0,15185,L,Other,S,No
1,female,17-32,0,0,16966,H,E,C,Yes
1,male,17-32,0,2,16966,H,E,C,Yes
1,male,33-48,1,1,16966,H,E,C,Yes
1,female,33-48,1,1,16966,H,E,C,Yes
1,female,17-32,0,0,16966,H,E,C,Yes
2,male,49-64,0,0,17248,L,Other,S,No
3,male,33-48,0,1,17368,L,Other,S,Yes
3,male,17-32,0,0,17369,L,Other,S,Yes
1,male,0-16,1,1,17421,H,C,C,No
1,male,33-48,0,2,17421,H,C,C,Yes
1,female,64-80,1,1,17421,H,C,C,Yes
1,male,17-32,1,0,17453,H,C,C,Yes
1,male,0-16,0,0,17463,H,E,S,No
1,male,17-32,1,0,17464,H,D,S,No
1,female,17-32,0,0,17465,M,D,S,Yes
1,female,33-48,0,0,17466,M,D,S,Yes
1,male,17-32,0,0,17473,M,E,S,Yes
1,male,17-32,1,0,17474,H,B,S,Yes
1,female,33-48,1,0,17474,H,B,S,Yes
1,male,17-32,0,0,17474,M,E,S,Yes
1,male,17-32,0,0,17475,M,Other,S,No
1,male,17-32,0,0,17475,M,E,S,Yes
1,male,33-48,0,0,17476,M,E,S,Yes
1,female,17-32,0,0,17477,H,B,C,Yes
1,female,17-32,0,0,17477,H,B,C,Yes
1,female,17-32,0,0,17482,H,C,C,Yes
1,female,17-32,0,0,17483,H,C,S,Yes
1,male,0-16,1,0,17483,H,C,S,No
1,female,17-32,1,0,17483,H,C,S,No
1,male,49-64,1,0,17485,H,A,C,Yes
1,female,17-32,0,0,17485,H,E,C,Yes
1,female,17-32,0,0,17531,H,A,C,No
1,male,17-32,0,1,17558,H,B,C,No
1,female,17-32,0,1,17558,H,B,C,Yes
1,female,17-32,1,1,17558,H,B,C,Yes
1,male,0-16,0,0,17562,H,D,C,No
1,female,17-32,0,0,17569,H,B,C,Yes
1,male,17-32,1,0,17569,H,B,C,No
1,male,17-32,1,0,17572,H,D,C,Yes
1,female,17-32,1,0,17572,H,D,C,Yes
1,male,17-32,0,0,17572,H,D,C,Yes
1,male,17-32,0,0,17580,H,A,C,No
1,male,17-32,0,1,17582,H,C,S,No
1,female,17-32,0,1,17582,H,C,S,Yes
1,female,33-48,0,0,17582,H,C,S,Yes
1,male,17-32,0,0,17585,H,Other,C,No
1,male,17-32,0,0,17590,H,A,S,No
1,male,49-64,0,0,17591,H,B,C,No
1,female,17-32,0,1,17592,H,D,S,Yes
1,female,33-48,0,1,17592,H,D,S,Yes
1,male,17-32,0,0,17593,H,B,C,No
1,male,17-32,0,0,17593,H,B,C,No
1,male,17-32,0,0,17594,H,A,C,Yes
1,female,17-32,0,0,17595,H,C,C,No
1,male,17-32,0,1,17596,H,C,C,No
1,male,33-48,0,1,17597,H,Other,C,No
1,male,49-64,0,1,17597,H,Other,C,Yes
1,male,33-48,1,0,17599,H,C,C,No
1,female,17-32,1,0,17599,H,C,C,Yes
1,male,0-16,0,0,17601,H,Other,C,No
1,male,17-32,1,0,17603,H,Other,C,No
1,female,33-48,1,0,17603,H,Other,C,Yes
1,male,33-48,1,0,17604,H,Other,C,No
1,female,0-16,0,0,17606,M,Other,C,Yes
1,female,17-32,0,0,17608,H,Other,C,Yes
1,female,17-32,0,0,17608,H,B,C,Yes
1,male,17-32,2,2,17608,H,B,C,Yes
1,female,33-48,2,2,17608,H,B,C,Yes
1,female,33-48,2,2,17608,H,B,C,Yes
1,male,33-48,1,3,17608,H,B,C,No
1,female,0-16,1,3,17608,H,B,C,Yes
1,male,17-32,0,0,17609,H,Other,C,No
1,female,17-32,0,0,17610,H,B,C,Yes
1,male,17-32,2,0,17611,H,Other,S,Yes
1,female,33-48,0,0,17613,H,A,C,Yes
1,male,17-32,0,0,17754,H,A,C,No
1,male,33-48,0,1,17755,H,B,C,Yes
1,female,17-32,0,1,17755,H,B,C,Yes
1,male,0-16,0,0,17755,H,B,C,Yes
1,female,33-48,0,0,17755,H,Other,C,Yes
1,female,17-32,1,1,17756,H,E,C,Yes
1,male,17-32,1,1,17756,H,E,C,No
1,female,0-16,0,2,17756,H,E,C,Yes
1,male,17-32,1,0,17757,H,C,C,No
1,female,17-32,1,0,17757,H,C,C,Yes
1,female,17-32,0,0,17757,H,Other,C,Yes
1,female,17-32,0,0,17757,H,C,C,Yes
1,female,33-48,0,0,17758,H,C,C,Yes
1,male,17-32,1,0,17758,H,C,C,No
1,female,17-32,1,0,17758,H,C,C,Yes
1,male,33-48,0,1,17759,H,D,C,Yes
1,female,17-32,0,1,17759,H,D,C,Yes
1,female,33-48,0,0,17760,H,C,S,Yes
1,male,33-48,0,0,17760,H,Other,C,No
1,female,17-32,0,0,17760,H,C,C,Yes
1,female,17-32,0,0,17760,H,C,C,Yes
1,male,49-64,1,0,17761,H,C,C,No
1,female,17-32,1,0,17761,H,C,C,Yes
1,female,17-32,0,0,17761,H,Other,C,Yes
1,male,17-32,0,0,17764,H,A,C,No
1,male,17-32,1,0,17765,H,D,C,Yes
3,male,17-32,0,0,18509,L,Other,S,No
2,male,17-32,0,0,18723,L,Other,S,No
1,female,17-32,0,0,19877,H,Other,S,Yes
1,male,0-16,1,0,19877,H,C,S,No
1,female,17-32,1,0,19877,H,C,S,Yes
1,male,17-32,0,0,19924,M,Other,S,No
1,male,17-32,2,0,19928,H,C,Q,No
1,female,17-32,1,0,19928,H,C,Q,Yes
1,female,17-32,1,0,19928,H,C,Q,Yes
1,male,33-48,1,0,19943,H,C,S,Yes
1,female,0-16,1,0,19943,H,C,S,Yes
1,female,17-32,3,2,19950,H,C,S,Yes
1,female,33-48,3,2,19950,H,C,S,Yes
1,female,17-32,3,2,19950,H,C,S,Yes
1,male,17-32,3,2,19950,H,C,S,No
1,male,0-16,1,4,19950,H,C,S,No
1,female,33-48,1,4,19950,H,C,S,Yes
1,male,17-32,0,0,19952,M,E,S,Yes
1,male,17-32,0,0,19972,L,Other,S,No
1,male,33-48,1,0,19996,H,C,S,Yes
3,male,17-32,0,0,20589,L,Other,S,No
3,male,17-32,1,0,21171,L,Other,S,No
3,male,17-32,0,0,21172,L,Other,S,No
3,male,17-32,0,0,21173,L,Other,S,No
3,male,17-32,0,0,21174,L,Other,S,No
3,male,17-32,0,0,21175,L,Other,S,No
1,male,33-48,1,0,21228,H,B,S,Yes
