age,sex,region,income,married,children,car,save_act,current_act,mortgage,pep
48.0,FEMALE,INNER_CITY,M,NO,1.0,NO,NO,NO,NO,YES
40.0,MALE,TOWN,M,YES,3.0,YES,NO,YES,YES,NO
51.0,FEMALE,INNER_CITY,L,YES,0.0,YES,YES,YES,NO,NO
23.0,FEMALE,TOWN,M,YES,3.0,NO,NO,YES,NO,NO
57.0,FEMALE,RURAL,H,YES,0.0,NO,YES,NO,NO,NO
57.0,FEMALE,TOWN,H,YES,2.0,NO,YES,YES,NO,YES
22.0,MALE,RURAL,L,NO,0.0,NO,NO,YES,NO,YES
58.0,MALE,TOWN,M,YES,0.0,YES,YES,YES,NO,NO
37.0,FEMALE,SUBURBAN,M,YES,2.0,YES,NO,NO,NO,NO
54.0,MALE,TOWN,M,YES,2.0,YES,YES,YES,NO,NO
66.0,FEMALE,TOWN,H,YES,0.0,NO,YES,YES,NO,NO
42.0,FEMALE,INNER_CITY,M,NO,0.0,YES,YES,YES,YES,NO
44.0,FEMALE,TOWN,L,YES,1.0,NO,YES,YES,YES,YES
66.0,FEMALE,TOWN,H,YES,1.0,YES,YES,YES,YES,YES
36.0,MALE,RURAL,L,YES,0.0,NO,YES,YES,YES,NO
38.0,FEMALE,INNER_CITY,M,YES,0.0,YES,YES,YES,YES,NO
37.0,FEMALE,TOWN,L,YES,nan,NO,NO,NO,YES,NO
46.0,FEMALE,SUBURBAN,H,YES,0.0,NO,YES,NO,YES,NO
62.0,FEMALE,INNER_CITY,M,YES,0.0,NO,YES,NO,NO,YES
31.0,MALE,TOWN,M,YES,0.0,YES,YES,YES,NO,NO
61.0,MALE,INNER_CITY,H,YES,2.0,NO,YES,NO,NO,YES
50.0,MALE,TOWN,L,YES,2.0,NO,YES,YES,NO,NO
54.0,MALE,INNER_CITY,H,YES,0.0,NO,YES,YES,NO,NO
27.0,FEMALE,TOWN,L,NO,0.0,YES,YES,YES,YES,NO
22.0,MALE,INNER_CITY,L,NO,2.0,YES,YES,YES,NO,NO
56.0,MALE,INNER_CITY,H,YES,0.0,YES,YES,YES,YES,NO
45.0,MALE,INNER_CITY,M,YES,0.0,NO,YES,YES,YES,NO
39.0,FEMALE,TOWN,L,YES,1.0,NO,NO,YES,NO,YES
39.0,FEMALE,INNER_CITY,M,NO,3.0,YES,NO,YES,YES,NO
61.0,MALE,RURAL,M,YES,1.0,NO,NO,YES,NO,YES
61.0,FEMALE,RURAL,M,YES,2.0,NO,YES,YES,NO,NO
20.0,FEMALE,TOWN,L,YES,2.0,NO,YES,NO,NO,NO
45.0,MALE,SUBURBAN,M,YES,1.0,YES,YES,YES,NO,YES
33.0,FEMALE,INNER_CITY,M,NO,3.0,YES,YES,NO,NO,NO
43.0,MALE,SUBURBAN,H,NO,0.0,NO,YES,YES,NO,YES
27.0,FEMALE,INNER_CITY,L,YES,2.0,NO,YES,YES,NO,NO
19.0,MALE,RURAL,L,YES,3.0,YES,YES,YES,NO,NO
36.0,FEMALE,RURAL,L,NO,0.0,YES,NO,YES,NO,YES
43.0,FEMALE,TOWN,L,YES,0.0,YES,YES,YES,NO,NO
66.0,FEMALE,SUBURBAN,M,NO,2.0,NO,NO,YES,NO,NO
55.0,MALE,TOWN,M,YES,0.0,NO,NO,YES,YES,YES
47.0,FEMALE,INNER_CITY,M,YES,0.0,YES,NO,YES,NO,NO
67.0,MALE,TOWN,H,NO,2.0,YES,YES,NO,NO,YES
32.0,FEMALE,TOWN,M,YES,0.0,YES,NO,YES,YES,NO
20.0,MALE,INNER_CITY,L,NO,2.0,YES,YES,YES,YES,NO
64.0,MALE,INNER_CITY,H,YES,2.0,NO,YES,YES,YES,YES
50.0,FEMALE,INNER_CITY,L,NO,1.0,YES,YES,YES,NO,YES
29.0,MALE,INNER_CITY,L,NO,2.0,NO,YES,YES,YES,YES
52.0,MALE,INNER_CITY,H,NO,2.0,YES,NO,YES,NO,YES
47.0,FEMALE,RURAL,L,YES,2.0,YES,YES,NO,NO,NO
24.0,MALE,TOWN,L,NO,2.0,YES,YES,NO,NO,NO
36.0,MALE,TOWN,M,YES,0.0,NO,NO,NO,NO,NO
43.0,MALE,TOWN,L,YES,1.0,NO,YES,YES,NO,YES
48.0,MALE,SUBURBAN,M,NO,1.0,NO,YES,YES,NO,YES
63.0,MALE,TOWN,H,YES,0.0,NO,YES,YES,YES,NO
52.0,FEMALE,RURAL,H,NO,3.0,NO,YES,NO,NO,YES
58.0,FEMALE,INNER_CITY,M,NO,0.0,NO,NO,YES,NO,YES
28.0,MALE,INNER_CITY,M,YES,0.0,NO,YES,YES,NO,YES
29.0,FEMALE,INNER_CITY,L,YES,0.0,NO,NO,YES,NO,NO
34.0,MALE,INNER_CITY,M,NO,1.0,YES,YES,YES,YES,YES
42.0,FEMALE,INNER_CITY,M,YES,1.0,NO,YES,YES,YES,YES
65.0,FEMALE,INNER_CITY,H,NO,1.0,YES,NO,YES,NO,YES
47.0,MALE,INNER_CITY,M,YES,2.0,NO,YES,YES,NO,NO
20.0,MALE,INNER_CITY,L,YES,0.0,NO,YES,NO,NO,NO
21.0,MALE,TOWN,L,NO,0.0,YES,YES,YES,YES,NO
42.0,MALE,INNER_CITY,L,YES,0.0,NO,YES,YES,NO,NO
19.0,MALE,TOWN,L,NO,2.0,NO,YES,YES,NO,NO
41.0,FEMALE,TOWN,H,NO,0.0,NO,YES,YES,YES,NO
30.0,MALE,TOWN,L,NO,2.0,NO,YES,YES,NO,NO
31.0,FEMALE,RURAL,L,YES,2.0,NO,NO,YES,NO,YES
25.0,MALE,INNER_CITY,L,YES,3.0,YES,YES,YES,NO,NO
21.0,MALE,INNER_CITY,L,NO,0.0,NO,NO,YES,NO,YES
36.0,MALE,INNER_CITY,H,YES,3.0,YES,YES,YES,YES,YES
58.0,FEMALE,INNER_CITY,M,YES,2.0,NO,YES,NO,YES,NO
64.0,FEMALE,INNER_CITY,H,NO,2.0,YES,YES,YES,NO,YES
59.0,FEMALE,RURAL,H,NO,2.0,YES,NO,NO,NO,YES
45.0,FEMALE,TOWN,M,NO,0.0,NO,YES,YES,YES,NO
