PassengerId,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Survived
1,2,female,22,0,1,2,21,Other,S,Yes
2,2,male,38,0,1,2,21,Other,S,No
3,3,male,26,0,0,2,7.925,Other,S,Yes
4,3,male,35,0,0,2,7.125,Other,S,No
5,3,male,35,0,0,2,7.925,Other,S,No
6,3,male,,1,0,2,7.925,Other,S,Yes
7,3,male,54,0,0,2,7.125,Other,S,No
8,3,male,2,0,0,2,7.925,Other,S,No
9,3,male,27,0,0,2,7.925,Other,S,Yes
10,3,male,14,0,0,2,7.925,Other,S,No
11,3,male,4,0,0,2,7.925,Other,S,No
12,3,male,58,0,0,2,7.125,Other,S,No
13,3,male,20,0,0,2,7.925,Other,S,No
14,3,male,39,0,0,2,7.925,Other,S,Yes
15,3,male,14,0,0,2,7.925,Other,S,Yes
16,3,male,55,0,0,2,7.925,Other,S,No
17,2,female,2,0,0,3,10.5,E,S,No
18,2,male,,0,0,3,10.5,Other,S,No
19,1,male,31,0,0,680,50,C,S,No
20,1,male,,0,0,693,26,Other,S,No
21,1,male,35,0,0,694,26,Other,S,No
22,1,male,34,0,0,695,5,B,S,No
23,2,male,15,0,0,751,10.5,Other,S,Yes
24,2,male,28,0,0,752,10.5,Other,S,Yes
25,3,male,8,0,0,752,7.55,Other,S,Yes
26,3,male,38,1,1,851,14.5,Other,S,No
27,3,male,,0,2,851,14.5,Other,S,No
28,2,male,19,0,0,1166,12.525,Other,S,No
29,2,male,,0,0,1585,12.275,Other,S,No
30,3,male,,0,0,1601,56.4958,Other,S,Yes
31,3,male,40,0,0,1601,56.4958,NA,S,Yes
32,3,male,,0,0,1601,56.4958,Other,S,Yes
33,3,male,,0,0,1601,56.4958,Other,S,No
34,2,female,66,0,0,1748,12,Other,C,Yes
35,2,male,28,1,0,2003,26,Other,S,No
36,2,female,42,1,0,2003,26,Other,S,Yes
37,2,male,,0,2,2079,37.0042,Other,C,Yes
38,2,male,21,1,1,2079,37.0042,Other,C,No
39,2,female,18,1,1,2079,37.0042,Other,C,Yes
40,2,female,14,1,2,2123,41.5792,Other,C,Yes
41,2,female,40,1,2,2123,41.5792,Other,C,Yes
