Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Survived
3,female,36,1,1,9549,16.7,B,S,Yes
3,female,32,0,1,9549,16.7,B,S,Yes
3,female,19,1,1,9549,16.7,B,S,Yes
3,female,21,1,1,2144,46.9,Other,S,No
3,female,28.84581882,1,1,2144,46.9,Other,S,No
3,female,28.84581882,1,1,2144,46.9,Other,S,No
3,male,18,1,1,2144,46.9,Other,S,No
2,female,22,0,1,2,21,Other,S,Yes
2,male,38,0,1,2,21,Other,S,No
3,male,26,0,0,2,7.925,Other,S,Yes
3,male,35,0,0,2,7.125,Other,S,No
3,male,35,0,0,2,7.925,Other,S,No
3,male,28.84581882,1,0,2,7.925,Other,S,Yes
3,male,54,0,0,2,7.125,Other,S,No
3,male,2,0,0,2,7.925,Other,S,No
3,male,27,0,0,2,7.925,Other,S,Yes
3,male,14,0,0,2,7.925,Other,S,No
3,male,4,0,0,2,7.925,Other,S,No
3,male,58,0,0,2,7.125,Other,S,No
3,male,20,0,0,2,7.925,Other,S,No
3,male,39,0,0,2,7.925,Other,S,Yes
3,male,14,0,0,2,7.925,Other,S,Yes
3,male,55,0,0,2,7.925,Other,S,No
2,female,2,0,0,3,10.5,B,S,No
2,male,28.84581882,0,0,3,10.5,Other,S,No
1,female,30,0,0,11813,76.2917,B,C,Yes
1,female,28.84581882,0,0,11813,76.2917,B,C,Yes
1,male,31,1,0,11967,91.0792,A,C,Yes
1,female,27,1,0,11967,91.0792,A,C,Yes
2,male,42,0,0,12233,13,Other,S,No
1,male,32,1,1,12749,93.5,A,S,No
1,female,30,1,1,12749,93.5,A,S,Yes
1,male,16,0,0,12749,93.5,A,S,No
1,female,27,0,0,12749,93.5,A,S,Yes
1,male,51,1,0,12750,52,A,S,No
1,female,28.84581882,1,1,12750,52,A,S,Yes
3,male,38,0,0,13032,7.7333,Other,Q,No
1,male,22,0,0,13049,40.125,A,C,No
1,male,19,0,0,13050,75.2417,A,C,No
1,male,20.5,0,0,13050,75.2417,A,C,No
1,male,18,0,0,13213,35.5,A,C,Yes
1,male,28.84581882,0,0,13214,30.5,A,C,Yes
1,male,35,1,0,13236,57.75,A,C,Yes
1,female,29,1,0,13236,57.75,A,C,Yes
1,female,59,1,0,13502,77.9583,B,S,Yes
1,female,5,1,0,13502,77.9583,B,S,Yes
1,female,24,0,0,13502,77.9583,B,S,Yes
1,male,28.84581882,1,0,13507,55.9,B,S,No
1,female,44,1,0,13507,55.9,B,S,Yes
1,male,8,1,0,13508,136.7792,A,C,No
1,female,19,1,0,13508,136.7792,A,C,Yes
1,male,33,0,0,13509,26.55,B,S,No
2,female,28.84581882,0,0,13528,21,Other,S,Yes
2,female,28.84581882,0,0,13528,21,Other,S,Yes
