Rk,Pos,Age,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G??
1,3,27.0,0.9985657868605985,79,34.2,10.2,20.2,H,11.2,H,9.0,4.6,5.1,0.9,4.6,5.4,6.7,2.1,0.2,3.3,2.0,30.1
2,5,26.0,1.1222819020468673,82,38.1,8.7,19.7,M,8.0,H,11.7,8.8,10.2,0.8,5.3,6.1,7.5,1.7,0.6,4.6,2.8,29.0
3,4,27.0,0.7098948514259712,72,35.8,9.7,19.2,M,6.7,H,12.5,6.2,6.9,0.6,7.6,8.2,5.0,1.0,1.2,3.5,1.9,28.2
4,0,25.0,0.4212239159913439,65,34.6,9.2,20.5,L,3.2,H,17.3,7.3,10.2,2.4,9.1,11.5,3.3,1.6,1.4,3.8,3.6,26.9
5,4,31.0,0.8748496716743296,76,35.6,9.7,18.6,L,3.7,H,14.9,4.7,6.5,1.5,6.0,7.4,6.8,1.4,0.6,3.3,1.9,25.3
6,3,25.0,0.83361096661224,75,35.7,8.2,19.7,M,8.1,H,11.5,5.5,6.2,0.6,3.4,4.0,6.8,0.9,0.4,3.2,2.2,25.1
7,1,22.0,0.25626909574298545,61,35.5,9.2,18.6,L,1.8,H,16.9,5.3,7.0,2.1,8.1,10.3,1.9,1.3,2.0,2.0,2.4,24.3
8,5,26.0,0.9573270817985089,78,35.9,7.9,17.7,L,1.8,H,15.9,7.1,8.4,0.8,3.7,4.5,4.0,1.0,0.3,2.2,2.1,23.5
9,3,27.0,1.039804491922688,80,34.4,8.2,18.1,L,4.3,H,13.8,5.8,7.2,1.8,6.0,7.8,10.4,2.0,0.3,4.3,2.5,23.5
10,4,25.0,1.0810431969847776,81,34.8,7.5,17.9,M,7.0,H,10.9,5.6,6.5,1.0,6.0,7.0,4.1,1.9,0.4,3.3,2.8,23.1
11,3,26.0,1.1222819020468673,79,32.2,7.2,16.9,M,5.7,H,11.2,5.8,6.6,0.6,2.4,3.0,6.2,1.1,0.1,2.7,2.0,22.2
12,5,25.0,1.039804491922688,80,33.3,8.1,17.3,H,8.1,H,9.2,2.4,2.8,0.4,3.4,3.8,2.1,0.8,0.6,1.7,1.9,22.1
13,4,31.0,0.7098948514259712,72,35.1,7.9,18.2,L,4.3,H,13.8,4.6,5.6,1.4,6.4,7.7,4.2,0.9,0.5,2.4,2.5,21.8
14,1,26.0,-0.8159372358713444,35,33.4,8.6,17.2,L,0.5,H,16.7,4.0,5.5,1.5,6.9,8.4,4.9,0.8,0.5,2.4,2.7,21.4
